# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May  8 12:30:27 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and pl_orbperstr < 100
# CONSTRAINT:  and pl_radjstr not null
# CONSTRAINT:  and pl_bmassjstr in [0.25, 13]
# CONSTRAINT:  and pl_orbeccenlim = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-2583 A b,TOI-2583 A,1,2,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,4.52072650000,0.00000490000,-0.00000490000,0,0.0571000000,0.0010000000,-0.0013000000,0,14.45958510,0.44835923,-0.36989636,0,1.29000000,0.04000000,-0.03300000,0,79.45710175,18.43404761,-17.79839079,0,0.25000000,0.05800000,-0.05600000,0,Mass,0.000000,,,0,750.9000,39.7000,-32.3000,0,1456.00,19.00,-16.00,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,,5936.00,65.00,-68.00,0,1.477000,0.036000,-0.032000,0,1.215000,0.063000,-0.082000,0,0.1580,0.0840,-0.0850,0,[Fe/H],4.184000,0.028000,-0.035000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h09m04.09s,272.2670293,+45d20m12.84s,45.3368996,566.18900000,6.47000000,-6.32800000,12.5860000,0.1500000,-0.1500000,11.2450000,,,12.4592000,0.0001680,-0.0001680,2023-02-27,2023-03,2023-02-27
TOI-2000 c,TOI-2000,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1632S/abstract target=ref>Sha et al. 2023</a>,9.12705500000,0.00000730000,-0.00000720000,0,0.0878000000,0.0016000000,-0.0014000000,0,8.14000000,0.31000000,-0.30000000,0,0.72700000,0.02800000,-0.02700000,0,81.70000000,4.70000000,-4.60000000,0,0.25700000,0.01500000,-0.01400000,0,Mass,0.063000,0.023000,-0.022000,0,149.0000,12.0000,-10.0000,0,1038.00,84.00,-111.00,0,0,<a refstr=SHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1632S/abstract target=ref>Sha et al. 2023</a>,,5611.00,85.00,-82.00,0,1.134000,0.037000,-0.036000,0,1.082000,0.059000,-0.050000,0,0.4390,0.0410,-0.0430,0,[Fe/H],4.363000,0.034000,-0.032000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h45m35.30s,146.3970631,-66d41m11.87s,-66.6866307,175.71300000,0.76000000,-0.75400000,10.9840000,0.0120000,-0.0120000,9.3030010,0.0210000,-0.0210000,10.8542000,0.0003160,-0.0003160,2023-06-27,2023-06,2023-06-27
K2-329 b,K2-329,1,1,1,Transit,2020,K2,Published Confirmed,0,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,12.45512250000,0.00000310000,-0.00000310000,0,0.1016000000,0.0018000000,-0.0019000000,0,8.67576600,0.29143400,-0.26901600,0,0.77400000,0.02600000,-0.02400000,0,82.63580000,6.35660000,-6.99226000,0,0.26000000,0.02000000,-0.02200000,0,Mass,0.069700,0.041000,-0.040000,0,45.7000,2.2000,-1.6000,0,650.00,53.00,-70.00,0,0,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,,5282.00,40.00,-39.00,0,0.822000,0.026000,-0.024000,0,0.901000,0.048000,-0.049000,0,0.0980,0.0650,-0.0700,0,[Fe/H],4.566000,0.013000,-0.021000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h24m32.49s,351.1353785,-05d09m50.92s,-5.1641451,233.23700000,2.29300000,-2.24900000,12.6970000,0.0800000,-0.0800000,10.6680000,0.0230000,-0.0230000,12.4462000,0.0003490,-0.0003490,2020-11-13,2021-02,2020-11-19
TOI-3629 b,TOI-3629,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CA_NTILDE_AS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220109963C/abstract target=ref>Ca&ntilde;as et al. 2022</a>,3.93655100000,0.00000500000,-0.00000600000,0,0.0430000000,0.0020000000,-0.0020000000,0,8.29464572,0.22417961,-0.22417961,0,0.74000000,0.02000000,-0.02000000,0,82.63538582,6.35656814,-6.35656814,0,0.26000000,0.02000000,-0.02000000,0,Mass,0.050000,0.050000,-0.040000,0,39.0000,4.0000,-4.0000,0,690.00,20.00,-20.00,0,0,<a refstr=CA_NTILDE_AS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220109963C/abstract target=ref>Ca&ntilde;as et al. 2022</a>,M1,3870.00,90.00,-90.00,0,0.600000,0.020000,-0.010000,0,0.630000,0.020000,-0.020000,0,0.4000,0.1000,-0.1000,0,[Fe/H],4.670000,0.050000,-0.050000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h59m10.41s,359.7933851,+39d18m51.32s,39.3142556,130.09100000,0.54800000,-0.54500000,14.6390000,0.0610000,-0.0610000,10.5530000,0.0200000,-0.0200000,13.8375000,0.0004720,-0.0004720,2022-06-27,2022-01,2022-06-27
HATS-43 b,HATS-43,1,1,1,Transit,2018,HATSouth,Published Confirmed,0,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,4.38884970000,0.00000590000,-0.00000590000,0,0.0494400000,0.0004600000,-0.0004600000,0,13.22662000,0.56045000,-0.56045000,0,1.18000000,0.05000000,-0.05000000,0,82.95363000,17.16282000,-17.16282000,0,0.26100000,0.05400000,-0.05400000,0,Mass,0.173000,0.089000,-0.089000,0,,,,,1003.00,27.00,-27.00,0,0,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,,5099.00,61.00,-61.00,0,0.812000,0.032000,-0.032000,0,0.837000,0.023000,-0.023000,0,0.0500,0.0410,-0.0410,0,[Fe/H],4.539000,0.036000,-0.036000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h22m09.18s,80.5382418,-30d58m14.94s,-30.9708179,362.27300000,2.25900000,-2.23200000,13.5620000,0.0570000,-0.0570000,11.5560000,0.0230000,-0.0230000,13.4014000,0.0006430,-0.0006430,2018-05-22,2018-03,2018-05-24
HAT-P-38 b,HAT-P-38,1,1,1,Transit,2012,HATNet,Published Confirmed,0,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64...97S/abstract target=ref> Sato et al. 2012 </a>,4.64038200000,0.00003200000,-0.00003200000,0,0.0523000000,0.0009000000,-0.0009000000,0,9.24700000,1.03100000,-0.70600000,0,0.82500000,0.09200000,-0.06300000,0,84.85700000,6.35600000,-6.35600000,0,0.26700000,0.02000000,-0.02000000,0,Mass,0.067000,0.047000,-0.047000,0,,,,,1082.00,55.00,-55.00,0,0,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64...97S/abstract target=ref> Sato et al. 2012 </a>,,5330.00,100.00,,0,0.923000,0.096000,,0,0.886000,0.044000,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h21m32.04s,35.3834942,+32d14m45.76s,32.2460441,255.20600000,2.47300000,-2.42700000,12.5250000,0.1030000,-0.1030000,10.5010000,0.0170000,-0.0170000,12.3021000,0.0002570,-0.0002570,2014-05-14,2012-10,2014-05-14
TOI-3757 b,TOI-3757,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KANODIA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...81K/abstract target=ref>Kanodia et al. 2022</a>,3.43875300000,0.00000400000,-0.00000400000,0,0.0384500000,0.0004300000,-0.0004300000,0,12.00000000,0.40000000,-0.50000000,0,1.07057014,0.03568567,-0.04460709,0,85.30000000,8.80000000,-8.70000000,0,0.26838381,0.02768790,-0.02737326,0,Mass,0.140000,0.060000,-0.060000,0,55.4000,3.8000,-3.8000,0,759.00,13.00,-13.00,0,0,<a refstr=KANODIA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...81K/abstract target=ref>Kanodia et al. 2022</a>,M0 V,3913.00,56.00,-56.00,0,0.620000,0.010000,-0.010000,0,0.640000,0.020000,-0.020000,0,0.0000,0.2000,-0.2000,0,[Fe/H],4.680000,0.040000,-0.040000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h04m00.87s,91.0036423,+55d01m11.93s,55.0199793,181.13900000,1.19400000,-1.17900000,14.8120000,0.0640000,-0.0640000,11.1520000,0.0200000,-0.0200000,14.1321000,0.0004420,-0.0004420,2022-08-22,2022-09,2022-08-22
CoRoT-25 b,CoRoT-25,1,1,1,Transit,2013,CoRoT,Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,4.86069000000,0.00006000000,-0.00006000000,0,0.0578000000,0.0020000000,-0.0009000000,0,12.11000000,3.40000000,-1.12000000,0,1.08000000,0.30000000,-0.10000000,0,85.81000000,12.71000000,-12.71000000,0,0.27000000,0.04000000,-0.04000000,0,Mass,0.000000,,,0,,,,,1330.00,80.00,-40.00,0,0,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,F9,6040.00,90.00,-90.00,0,1.190000,0.140000,-0.030000,0,1.090000,0.110000,-0.050000,0,-0.0100,0.1300,-0.1300,0,[Fe/H],4.310000,0.050000,-0.080000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m31.12s,280.6296561,+06d30m49.76s,6.5138223,1103.48000000,44.28000000,-41.05000000,14.7900000,0.1720000,-0.1720000,12.8460000,0.0310000,-0.0310000,14.7110000,0.0003390,-0.0003390,2014-05-14,2013-07,2014-05-14
TOI-4860 b,TOI-4860,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230801454A/abstract target=ref>Almenara et al. 2023</a>,1.52275910000,0.00000030000,-0.00000030000,0,0.0180800000,0.0001500000,-0.0001500000,0,8.70000000,0.40000000,-0.40000000,0,0.77000000,0.03000000,-0.03000000,0,86.70000000,1.90000000,-1.90000000,0,0.27300000,0.00600000,-0.00600000,0,Mass,0.008000,0.013000,-0.006000,0,42.5000,1.9000,-1.9000,0,694.00,15.00,-15.00,0,0,<a refstr=ALMENARA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230801454A/abstract target=ref>Almenara et al. 2023</a>,M3.5 V,3260.00,50.00,-50.00,0,0.358000,0.015000,-0.015000,0,0.340000,0.009000,-0.009000,0,0.2700,0.1200,-0.1200,0,[Fe/H],4.860000,0.040000,-0.040000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h14m15.35s,183.5639610,-13d10m29.43s,-13.1748411,80.14230000,0.64810000,-0.63790000,16.4700000,0.2000000,-0.2000000,11.1750000,0.0260000,-0.0260000,15.1091000,0.0012870,-0.0012870,2024-03-04,2023-08,2024-03-04
WASP-131 b,WASP-131,1,1,1,Transit,2016,SuperWASP-South,Published Confirmed,0,<a refstr=DOYLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.4499D/abstract target=ref>Doyle et al. 2023</a>,5.32201250000,0.00000100000,-0.00000100000,0,0.0608000000,0.0013000000,-0.0013000000,0,13.74221034,0.41473229,-0.41473229,0,1.22600000,0.03700000,-0.03700000,0,86.76715511,6.03873973,-6.03873973,0,0.27300000,0.01900000,-0.01900000,0,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=DOYLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.4499D/abstract target=ref>Doyle et al. 2023</a>,,5990.00,50.00,-50.00,0,1.561000,0.043000,-0.043000,0,1.060000,0.068000,-0.068000,0,-0.2000,0.0700,-0.0700,0,[Fe/H],4.075000,0.018000,-0.018000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h00m46.46s,210.1935714,-30d35m00.99s,-30.5836084,200.07500000,2.65900000,-2.59100000,10.0680000,0.0050000,-0.0050000,8.5730000,0.0190000,-0.0190000,9.8670800,0.0003390,-0.0003390,2025-04-16,2023-07,2025-04-16
